course,section,class_number,instructor,days,time,modality,room,status,credits,result_category,time_filter_status,warnings
CSCI 12100,01-LEC Regular,5714,TBA,MoWe,1:00PM - 2:15PM,In Person,North Bldg 1001C,Open,3.0,matched,match,
CSCI 12100,03-LEC Regular,5713,TBA,MoWe,2:30PM - 3:45PM,In Person,North Bldg 1001C,Open,3.0,matched,match,
CSCI 12700,1R01-REC Regular,6909,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 12700,CN1R-REC Regular,6015,TBA,TBA,TBA,Online Synchronous,TBA,Open,3.0,tba_review,tba,
CSCI 12700,ECI1-LEC Regular,4336,TBA,MoWe,2:30PM - 3:45PM,In Person,North Bldg 1001C,Open,3.0,matched,match,
CSCI 12700,ECIR-REC Regular,4334,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 12700,X01R-REC Regular,6895,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 13500,01-LEC Regular,6013,TBA,MoWe,1:00PM - 2:15PM,In Person,North Bldg 118,Open,4.0,matched,match,
CSCI 13500,XCS1-LEC Regular,6011,TBA,MoWe,1:00PM - 2:15PM,In Person,North Bldg 118,Open,4.0,matched,match,
CSCI 15000,01-LEC Regular,6010,TBA,MoWe,11:30AM - 12:45PM,In Person,North Bldg 118,Open,4.0,matched,match,
CSCI 15000,1R02-REC Regular,5608,TBA,Mo,3:00PM - 3:50PM,In Person,North Bldg 1001D,Open,4.0,matched,match,
CSCI 15000,1R03-REC Regular,5606,TBA,Mo,4:00PM - 4:50PM,In Person,North Bldg 1001D,Open,4.0,matched,match,
CSCI 15000,1R05-REC Regular,5597,TBA,We,3:00PM - 3:50PM,In Person,North Bldg 1001D,Open,4.0,matched,match,
CSCI 15000,1R06-REC Regular,5596,TBA,We,4:00PM - 4:50PM,In Person,North Bldg 1001D,Open,4.0,matched,match,
CSCI 16000,01-LEC Regular,6008,TBA,TuTh,1:00PM - 2:15PM,In Person,West Bldg W615,Open,3.0,matched,match,
CSCI 18100,01-INT Regular,8598,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
CSCI 18100,02-INT Regular,8597,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
CSCI 18100,03-INT Regular,8596,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,1.0,matched,match,
CSCI 18200,01-INT Regular,8595,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
CSCI 18200,02-INT Regular,8594,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
CSCI 18200,03-INT Regular,8593,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,2.0,matched,match,
CSCI 18300,01-INT Regular,8592,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 18300,02-INT Regular,8591,TBA,TBA,TBA,Online Asynchronous,Online-Asynchronous,Open,3.0,matched,match,
CSCI 23200,01-LEC Regular,5584,TBA,MoWe,10:00AM - 11:15AM,In Person,North Bldg 1001B,Open,3.0,matched,match,
CSCI 26500,01-LEC Regular,6001,TBA,TuTh,5:30PM - 6:45PM,In Person,West Bldg W714,Open,3.0,matched,match,
CSCI 33500,01-LEC Regular,6000,TBA,TuTh,2:30PM - 3:45PM,In Person,West Bldg W714,Open,3.0,matched,match,
CSCI 34000,01-LEC Regular,5998,TBA,MoWe,4:00PM - 5:15PM,In Person,West Bldg W615,Open,3.0,matched,match,
CSCI 35000,01-LEC Regular,5580,TBA,MoWe,10:00AM - 11:15AM,In Person,North Bldg 1001F,Open,3.0,matched,match,
CSCI 39100,01-IND Regular,8586,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
CSCI 39100,02-IND Regular,8585,TBA,TBA,TBA,In Person,TBA,Open,1.0,tba_review,tba,
CSCI 39200,01-IND Regular,8584,TBA,TBA,TBA,In Person,TBA,Open,2.0,tba_review,tba,
CSCI 39300,01-IND Regular,8583,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 39300,02-IND Regular,8582,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 39300,03-IND Regular,8581,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 39300,04-IND Regular,8580,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 39300,05-IND Regular,8579,TBA,TBA,TBA,In Person,TBA,Open,3.0,tba_review,tba,
CSCI 39530,01-LEC Regular,5480,TBA,MoWe,11:30AM - 12:45PM,In Person,North Bldg 1001D,Open,3.0,matched,match,
CSCI 39531,01-LEC Regular,5478,TBA,MoWe,4:00PM - 5:15PM,In Person,North Bldg 1001C,Open,3.0,matched,match,
